Name der Tatsache	bestritten (ja/nein)	Sicht des Klägers	Sicht des Beklagten
-------------------	---------------------	-----------------	---------------------
Eigentümer des Motorrads	ja	Der Kläger behauptet, er sei Eigentümer des Motorrads.	Der Beklagte bestreitet, dass der Kläger Eigentümer des Motorrads ist und verweist darauf, dass der Kläger das Motorrad seinem Sohn geschenkt und übereignet hat. Er behauptet, dass der Kläger sein Eigentum bereits verloren hat.
Diebstahl des Motorrads	ja	Der Kläger behauptet, dass das Motorrad seines Sohnes gestohlen wurde, während es kurzzeitig unversperrt vor dem Haus seiner Freundin abgestellt war.	Der Beklagte bestreitet den Diebstahl und behauptet, dass er das Motorrad redlich vom Motorradhändler erworben hat, nachdem es zuvor gestohlen und an diesen verkauft wurde.
Besitz des Motorrads	ja	Der Kläger behauptet, dass der Beklagte nicht berechtigt ist, das Motorrad zu besitzen.	Der Beklagte behauptet, dass er der rechtmäßige Besitzer des Motorrads ist, da er es redlich erworben hat.
Herausgabeanspruch des Klägers	ja	Der Kläger fordert die Herausgabe des Motorrads vom Beklagten.	Der Beklagte lehnt die Herausgabe ab und verweist darauf, dass er umfangreiche Arbeiten an dem Motorrad durchgeführt hat, die erstattet werden müssten.
Zahlungsanspruch des Klägers	ja	Der Kläger fordert einen Betrag von 70 € zuzüglich Zinsen vom Beklagten. Der Betrag steht im Zusammenhang mit dem Fuchsschwanz, der am Motorrad befestigt war und beschädigt wurde.	Der Beklagte bestreitet den Zahlungsanspruch und beruft sich auf seine Ausgaben für die Restaurierung des Motorrads. Er ist allenfalls gegen Erstattung seiner Material- und Arbeitskosten zur Zahlung bereit.
Genehmigung der Ausgaben für die Restaurierung	ja	Der Kläger und sein Sohn haben die Genehmigung der Ausgaben für die Restaurierung des Motorrads verweigert.	-
Schadensersatz für beschädigten Fuchsschwanz	ja	Der Kläger behauptet, dass der Beklagte den Fuchsschwanz am Motorrad schuldhaft beschädigt hat und dass diese Beschädigung zu einer Wertminderung von 70 € geführt hat.	Der Beklagte bestreitet, den Fuchsschwanz beschädigt zu haben, und behauptet, dass der Schaden durch einen Radfahrer verursacht wurde, der dabei den Fuchsschwanz des Motorrads zerrissen hat. Er hat den Schaden jedoch sofort dem Beklagten erstattet.
Antrag auf Klageabweisung	nein	-	Der Beklagte beantragt die kostenpflichtige Klageabweisung.
Widerklage	nein	-	Der Beklagte kündigt an, eine Widerklage zu erheben, um festzustellen, dass er Anspruch auf Erstattung der Verwendungen für das Motorrad in Höhe von 870 € hat und dass er beabsichtigt, das Fahrzeug gemäß 1003 BGB zu verwerten, falls der Kläger die Kosten nicht erstattet.
